,datetimehourly,totalsales,quantity,newcustomer,returningcustomer,queueline
1,12/3/16 0:00,0,0,0,0,0
2,12/3/16 1:00,0,0,0,0,0
3,12/3/16 2:00,0,0,0,0,0
4,12/3/16 3:00,0,0,0,0,0
5,12/3/16 4:00,0,0,0,0,0
6,12/3/16 5:00,0,0,0,0,0
7,12/3/16 6:00,0,0,0,0,0
8,12/3/16 7:00,0,0,0,0,0
9,12/3/16 8:00,0,0,0,0,0
10,12/3/16 9:00,0,0,0,0,0
11,12/3/16 10:00,0,0,0,0,0
12,12/3/16 11:00,50.26,3.353,0,1,1
13,12/3/16 12:00,0,0,0,0,0
14,12/3/16 13:00,32.2,2.148,0,1,1
15,12/3/16 14:00,145.29,9.693,0,3,3
16,12/3/16 15:00,53.8,3.589,0,1,1
17,12/3/16 16:00,44.36,2.959,0,1,1
18,12/3/16 17:00,121.97,8.137,1,1,2
19,12/3/16 18:00,47.52,3.17,0,1,1
20,12/3/16 19:00,44.12,2.943,0,1,1
21,12/3/16 20:00,44.51,2.969,0,1,1
22,12/3/16 21:00,0,0,0,0,0
23,12/3/16 22:00,117.88,7.864,0,2,2
24,12/3/16 23:00,53.59,3.575,1,0,1
25,12/4/16 0:00,0,0,0,0,0
26,12/4/16 1:00,0,0,0,0,0
27,12/4/16 2:00,0,0,0,0,0
28,12/4/16 3:00,0,0,0,0,0
29,12/4/16 4:00,0,0,0,0,0
30,12/4/16 5:00,0,0,0,0,0
31,12/4/16 6:00,0,0,0,0,0
32,12/4/16 7:00,0,0,0,0,0
33,12/4/16 8:00,0,0,0,0,0
34,12/4/16 9:00,56.15,3.746,0,1,1
35,12/4/16 10:00,125.91,8.4,0,2,2
36,12/4/16 11:00,0,0,0,0,0
37,12/4/16 12:00,0,0,0,0,0
38,12/4/16 13:00,0,0,0,0,0
39,12/4/16 14:00,0,0,0,0,0
40,12/4/16 15:00,0,0,0,0,0
41,12/4/16 16:00,64.7,4.316,0,1,1
42,12/4/16 17:00,0,0,0,0,0
43,12/4/16 18:00,41.96,2.799,0,1,1
44,12/4/16 19:00,0,0,0,0,0
45,12/4/16 20:00,45.21,3.016,0,1,1
46,12/4/16 21:00,0,0,0,0,0
47,12/4/16 22:00,0,0,0,0,0
48,12/4/16 23:00,54.64,3.645,0,1,1
49,12/5/16 0:00,0,0,0,0,0
50,12/5/16 1:00,0,0,0,0,0
51,12/5/16 2:00,0,0,0,0,0
52,12/5/16 3:00,0,0,0,0,0
53,12/5/16 4:00,0,0,0,0,0
54,12/5/16 5:00,0,0,0,0,0
55,12/5/16 6:00,0,0,0,0,0
56,12/5/16 7:00,92.19,6.15,0,2,2
57,12/5/16 8:00,51.27,3.42,0,1,1
58,12/5/16 9:00,62.16,4.147,0,1,1
59,12/5/16 10:00,0,0,0,0,0
60,12/5/16 11:00,0,0,0,0,0
61,12/5/16 12:00,0,0,0,0,0
62,12/5/16 13:00,0,0,0,0,0
63,12/5/16 14:00,67.02,4.471,0,1,1
64,12/5/16 15:00,0,0,0,0,0
65,12/5/16 16:00,60.26,4.02,0,1,1
66,12/5/16 17:00,0,0,0,0,0
67,12/5/16 18:00,57.05,3.806,0,1,1
68,12/5/16 19:00,0,0,0,0,0
69,12/5/16 20:00,0,0,0,0,0
70,12/5/16 21:00,55.84,3.725,0,1,1
71,12/5/16 22:00,0,0,0,0,0
72,12/5/16 23:00,0,0,0,0,0
73,12/6/16 0:00,0,0,0,0,0
74,12/6/16 1:00,0,0,0,0,0
75,12/6/16 2:00,0,0,0,0,0
76,12/6/16 3:00,0,0,0,0,0
77,12/6/16 4:00,0,0,0,0,0
78,12/6/16 5:00,0,0,0,0,0
79,12/6/16 6:00,0,0,0,0,0
80,12/6/16 7:00,0,0,0,0,0
81,12/6/16 8:00,50.91,3.396,0,1,1
82,12/6/16 9:00,59.09,3.942,1,0,1
83,12/6/16 10:00,55.15,3.679,0,1,1
84,12/6/16 11:00,0,0,0,0,0
85,12/6/16 12:00,0,0,0,0,0
86,12/6/16 13:00,0,0,0,0,0
87,12/6/16 14:00,134.24,8.955,1,2,3
88,12/6/16 15:00,0,0,0,0,0
89,12/6/16 16:00,0,0,0,0,0
