,datetimehourly,weathertype
1,12/3/16 0:00,2
2,12/3/16 1:00,2
3,12/3/16 2:00,2
4,12/3/16 3:00,2
5,12/3/16 4:00,2
6,12/3/16 5:00,2
7,12/3/16 6:00,2
8,12/3/16 7:00,2
9,12/3/16 8:00,2
10,12/3/16 9:00,2
11,12/3/16 10:00,2
12,12/3/16 11:00,2
13,12/3/16 12:00,2
14,12/3/16 13:00,2
15,12/3/16 14:00,2
16,12/3/16 15:00,2
17,12/3/16 16:00,2
18,12/3/16 17:00,2
19,12/3/16 18:00,2
20,12/3/16 19:00,2
21,12/3/16 20:00,2
22,12/3/16 21:00,2
23,12/3/16 22:00,2
24,12/3/16 23:00,2
25,12/4/16 0:00,2
26,12/4/16 1:00,2
27,12/4/16 2:00,2
28,12/4/16 3:00,2
29,12/4/16 4:00,2
30,12/4/16 5:00,2
31,12/4/16 6:00,2
32,12/4/16 7:00,2
33,12/4/16 8:00,2
34,12/4/16 9:00,2
35,12/4/16 10:00,2
36,12/4/16 11:00,2
37,12/4/16 12:00,2
38,12/4/16 13:00,2
39,12/4/16 14:00,2
40,12/4/16 15:00,2
41,12/4/16 16:00,2
42,12/4/16 17:00,2
43,12/4/16 18:00,2
44,12/4/16 19:00,2
45,12/4/16 20:00,2
46,12/4/16 21:00,2
47,12/4/16 22:00,2
48,12/4/16 23:00,2
49,12/5/16 0:00,2
50,12/5/16 1:00,2
51,12/5/16 2:00,2
52,12/5/16 3:00,2
53,12/5/16 4:00,2
54,12/5/16 5:00,2
55,12/5/16 6:00,2
56,12/5/16 7:00,2
57,12/5/16 8:00,2
58,12/5/16 9:00,2
59,12/5/16 10:00,2
60,12/5/16 11:00,2
61,12/5/16 12:00,2
62,12/5/16 13:00,2
63,12/5/16 14:00,2
64,12/5/16 15:00,2
65,12/5/16 16:00,2
66,12/5/16 17:00,2
67,12/5/16 18:00,2
68,12/5/16 19:00,2
69,12/5/16 20:00,2
70,12/5/16 21:00,2
71,12/5/16 22:00,2
72,12/5/16 23:00,2
73,12/6/16 0:00,2
74,12/6/16 1:00,2
75,12/6/16 2:00,2
76,12/6/16 3:00,2
77,12/6/16 4:00,2
78,12/6/16 5:00,2
79,12/6/16 6:00,2
80,12/6/16 7:00,2
81,12/6/16 8:00,2
82,12/6/16 9:00,2
83,12/6/16 10:00,2
84,12/6/16 11:00,2
85,12/6/16 12:00,2
86,12/6/16 13:00,2
87,12/6/16 14:00,2
88,12/6/16 15:00,2
89,12/6/16 16:00,2
90,12/6/16 17:00,2
91,12/6/16 18:00,2
92,12/6/16 19:00,1
93,12/6/16 20:00,1
94,12/6/16 21:00,1
95,12/6/16 22:00,1
96,12/6/16 23:00,1
97,12/7/16 0:00,1
98,12/7/16 1:00,1
99,12/7/16 2:00,1
100,12/7/16 3:00,1
101,12/7/16 4:00,1
102,12/7/16 5:00,1
103,12/7/16 6:00,1
104,12/7/16 7:00,1
105,12/7/16 8:00,1
106,12/7/16 9:00,1
107,12/7/16 10:00,1
108,12/7/16 11:00,1
109,12/7/16 12:00,1
110,12/7/16 13:00,1
111,12/7/16 14:00,1
112,12/7/16 15:00,1
113,12/7/16 16:00,1
114,12/7/16 17:00,1
115,12/7/16 18:00,1
116,12/7/16 19:00,1
117,12/7/16 20:00,1
118,12/7/16 21:00,1
119,12/7/16 22:00,1
120,12/7/16 23:00,1
121,12/8/16 0:00,1
122,12/8/16 1:00,1
123,12/8/16 2:00,1
124,12/8/16 3:00,1
125,12/8/16 4:00,1
126,12/8/16 5:00,1
127,12/8/16 6:00,1
128,12/8/16 7:00,1
129,12/8/16 8:00,1
130,12/8/16 9:00,3
131,12/8/16 10:00,3
132,12/8/16 11:00,3
133,12/8/16 12:00,3
134,12/8/16 13:00,3
135,12/8/16 14:00,3
136,12/8/16 15:00,3
137,12/8/16 16:00,3
138,12/8/16 17:00,3
139,12/8/16 18:00,3
140,12/8/16 19:00,3
141,12/8/16 20:00,3
142,12/8/16 21:00,3
143,12/8/16 22:00,3
144,12/8/16 23:00,3
145,12/9/16 0:00,3
146,12/9/16 1:00,3
147,12/9/16 2:00,3
148,12/9/16 3:00,3
149,12/9/16 4:00,3
150,12/9/16 5:00,3
151,12/9/16 6:00,3
152,12/9/16 7:00,3
153,12/9/16 8:00,3
154,12/9/16 9:00,3
155,12/9/16 10:00,3
156,12/9/16 11:00,3
157,12/9/16 12:00,3
158,12/9/16 13:00,3
159,12/9/16 14:00,3
160,12/9/16 15:00,3
161,12/9/16 16:00,3
162,12/9/16 17:00,3
163,12/9/16 18:00,3
164,12/9/16 19:00,3
