"","pumps","datetimehourly","section","holiday","workday","weathertype","atemp","atemX","totalsales","quantity","newcustomer","returningcustomer","day.rushhour","day.rushhour.pumps","day.delivery.expected","day.delivery.expected.accuracy","day.consump.ave","timedatepos","day_col","month_col","year_col","second_col","min_col","hour_col"
"1",0,"12/3/16 0:00",4,1,0,2,14.5,58.1,0,0,0,0,0,0,24,0.8,2.2,2016-12-03 00:00:00,3,12,2016,0,0,0
"2",0,"12/3/16 1:00",4,1,0,2,14.5,58.1,0,0,0,0,0,0,24,0.8,2.2,2016-12-03 01:00:00,3,12,2016,0,0,1
"3",0,"12/3/16 2:00",4,1,0,2,15.125,59.225,0,0,0,0,0,0,24,0.8,2.2,2016-12-03 02:00:00,3,12,2016,0,0,2
"4",0,"12/3/16 3:00",4,1,0,2,15.75,60.35,0,0,0,0,0,0,24,0.8,2.2,2016-12-03 03:00:00,3,12,2016,0,0,3
"5",0,"12/3/16 4:00",4,1,0,2,16.375,61.475,0,0,0,0,0,0,24,0.8,2.2,2016-12-03 04:00:00,3,12,2016,0,0,4
"6",0,"12/3/16 5:00",1,1,0,2,17,62.6,0,0,0,0,0,0,24,0.8,2.2,2016-12-03 05:00:00,3,12,2016,0,0,5
"7",0,"12/3/16 6:00",1,1,0,2,17.625,63.725,0,0,0,0,0,0,24,0.8,2.2,2016-12-03 06:00:00,3,12,2016,0,0,6
"8",0,"12/3/16 7:00",1,1,0,2,18.25,64.85,0,0,0,0,0,0,24,0.8,2.2,2016-12-03 07:00:00,3,12,2016,0,0,7
"9",0,"12/3/16 8:00",1,1,0,2,18.875,65.975,0,0,0,0,0,0,24,0.8,2.2,2016-12-03 08:00:00,3,12,2016,0,0,8
"10",0,"12/3/16 9:00",1,1,0,2,19.5,67.1,0,0,0,0,0,0,24,0.8,2.2,2016-12-03 09:00:00,3,12,2016,0,0,9
"11",0,"12/3/16 10:00",1,1,0,2,20.125,68.225,0,0,0,0,0,0,24,0.8,2.2,2016-12-03 10:00:00,3,12,2016,0,0,10
"12",1,"12/3/16 11:00",2,1,0,2,20.75,69.35,50.26,3.353,0,1,0,0,24,0.8,2.2,2016-12-03 11:00:00,3,12,2016,0,0,11
"13",0,"12/3/16 12:00",2,1,0,2,21.375,70.475,0,0,0,0,0,0,24,0.8,2.2,2016-12-03 12:00:00,3,12,2016,0,0,12
"14",1,"12/3/16 13:00",2,1,0,2,22,71.6,32.2,2.148,0,1,0,0,24,0.8,2.2,2016-12-03 13:00:00,3,12,2016,0,0,13
"15",3,"12/3/16 14:00",2,1,0,2,22.6,72.68,145.29,9.693,0,3,1,3,24,0.8,2.2,2016-12-03 14:00:00,3,12,2016,0,0,14
"16",1,"12/3/16 15:00",3,1,0,2,23.2,73.76,53.8,3.589,0,1,0,0,24,0.8,2.2,2016-12-03 15:00:00,3,12,2016,0,0,15
"17",1,"12/3/16 16:00",3,1,0,2,24.8,76.64,44.36,2.959,0,1,0,0,24,0.8,2.2,2016-12-03 16:00:00,3,12,2016,0,0,16
"18",2,"12/3/16 17:00",3,1,0,2,24.6,76.28,121.97,8.137,1,1,0,0,24,0.8,2.2,2016-12-03 17:00:00,3,12,2016,0,0,17
"19",1,"12/3/16 18:00",3,1,0,2,22.7,72.86,47.52,3.17,0,1,0,0,24,0.8,2.2,2016-12-03 18:00:00,3,12,2016,0,0,18
"20",1,"12/3/16 19:00",3,1,0,2,21,69.8,44.12,2.943,0,1,0,0,24,0.8,2.2,2016-12-03 19:00:00,3,12,2016,0,0,19
"21",1,"12/3/16 20:00",3,1,0,2,20,68,44.51,2.969,0,1,0,0,24,0.8,2.2,2016-12-03 20:00:00,3,12,2016,0,0,20
"22",0,"12/3/16 21:00",3,1,0,2,17.9,64.22,0,0,0,0,0,0,24,0.8,2.2,2016-12-03 21:00:00,3,12,2016,0,0,21
"23",2,"12/3/16 22:00",4,1,0,2,17.1,62.78,117.88,7.864,0,2,0,0,24,0.8,2.2,2016-12-03 22:00:00,3,12,2016,0,0,22
"24",1,"12/3/16 23:00",4,1,0,2,16.45,61.61,53.59,3.575,1,0,0,0,24,0.8,2.2,2016-12-03 23:00:00,3,12,2016,0,0,23
"25",0,"12/4/16 0:00",4,1,0,2,15.8,60.44,0,0,0,0,0,2,24,0.8,2.2,2016-12-04 00:00:00,4,12,2016,0,0,0
"26",0,"12/4/16 1:00",4,1,0,2,15.7,60.26,0,0,0,0,0,2,24,0.8,2.2,2016-12-04 01:00:00,4,12,2016,0,0,1
"27",0,"12/4/16 2:00",4,1,0,2,15.94,60.692,0,0,0,0,0,2,24,0.8,2.2,2016-12-04 02:00:00,4,12,2016,0,0,2
"28",0,"12/4/16 3:00",4,1,0,2,16.18,61.124,0,0,0,0,0,2,24,0.8,2.2,2016-12-04 03:00:00,4,12,2016,0,0,3
"29",0,"12/4/16 4:00",4,1,0,2,16.42,61.556,0,0,0,0,0,2,24,0.8,2.2,2016-12-04 04:00:00,4,12,2016,0,0,4
"30",0,"12/4/16 5:00",1,1,0,2,16.66,61.988,0,0,0,0,0,2,24,0.8,2.2,2016-12-04 05:00:00,4,12,2016,0,0,5
"31",0,"12/4/16 6:00",1,1,0,2,16.9,62.42,0,0,0,0,0,2,24,0.8,2.2,2016-12-04 06:00:00,4,12,2016,0,0,6
"32",0,"12/4/16 7:00",1,1,0,2,17.14,62.852,0,0,0,0,0,2,24,0.8,2.2,2016-12-04 07:00:00,4,12,2016,0,0,7
