"","datetimehour","pt100_h2","pt11_h2","pt200_pressure","pt250_pressure","pt930_left","pt931_right","asDate","day_col","month_col","year_col","second_col","min_col","hour_col"
"1","01/05/2017 00:00:00 ",151.548034668,150.7378540039,445.9635314941,834.8524169922,91.201385498,35.4583320618,2017-05-01 00:00:00,1,5,2017,0,0,0
"2","30/04/2017 23:50:00 ",129.2679443359,128.576385498,445.9635314941,834.8524169922,91.201385498,35.538192749,2017-04-30 23:50:00,30,4,2017,0,50,23
"3","30/04/2017 23:40:00 ",98.741317749,98.6284713745,446.2528991699,834.8524169922,91.361114502,35.6979179382,2017-04-30 23:40:00,30,4,2017,0,40,23
"4","30/04/2017 23:30:00 ",33.9988441467,33.3420143127,447.1209411621,834.8524169922,91.4409713745,35.8576393127,2017-04-30 23:30:00,30,4,2017,0,30,23
"5","30/04/2017 23:20:00 ",34.071182251,33.3420143127,447.1209411621,835.141784668,91.4409713745,36.0173606873,2017-04-30 23:20:00,30,4,2017,0,20,23
"6","30/04/2017 23:10:00 ",34.071182251,33.3420143127,447.4103088379,835.141784668,91.5208358765,36.0972213745,2017-04-30 23:10:00,30,4,2017,0,10,23
"7","30/04/2017 23:00:00 ",34.071182251,33.3420143127,447.4103088379,835.4311523438,91.600692749,36.336807251,2017-04-30 23:00:00,30,4,2017,0,0,23
"8","30/04/2017 22:50:00 ",34.071182251,33.3420143127,447.6996459961,835.141784668,91.7604141235,36.4166679382,2017-04-30 22:50:00,30,4,2017,0,50,22
"9","30/04/2017 22:40:00 ",34.1435203552,33.3420143127,448.5677185059,835.141784668,91.8402786255,36.65625,2017-04-30 22:40:00,30,4,2017,0,40,22
"10","30/04/2017 22:30:00 ",34.1435203552,33.3420143127,448.8570556641,835.141784668,91.920135498,36.7361106873,2017-04-30 22:30:00,30,4,2017,0,30,22
"11","30/04/2017 22:20:00 ",34.1435203552,33.3420143127,448.5677185059,835.4311523438,92,36.8958320618,2017-04-30 22:20:00,30,4,2017,0,20,22
"12","30/04/2017 22:10:00 ",34.1435203552,33.741317749,449.1464233398,835.4311523438,92.2395858765,37.055557251,2017-04-30 22:10:00,30,4,2017,0,10,22
"13","30/04/2017 22:00:00 ",34.1435203552,33.3420143127,450.3038330078,835.4311523438,92.319442749,37.2152786255,2017-04-30 22:00:00,30,4,2017,0,0,22
"14","30/04/2017 21:50:00 ",32.5520820618,36.1371536255,445.095489502,835.4311523438,92.319442749,37.2951393127,2017-04-30 21:50:00,30,4,2017,0,50,21
"15","30/04/2017 21:40:00 ",35.9519691467,39.930557251,430.0491943359,835.4311523438,92.399307251,37.5347213745,2017-04-30 21:40:00,30,4,2017,0,40,21
"16","30/04/2017 21:30:00 ",44.632522583,43.9236106873,417.0283508301,835.4311523438,92.638885498,37.6145820618,2017-04-30 21:30:00,30,4,2017,0,30,21
"17","30/04/2017 21:20:00 ",46.7303237915,48.3159713745,402.2714233398,856.5538330078,92.71875,37.8541679382,2017-04-30 21:20:00,30,4,2017,0,20,21
"18","30/04/2017 21:10:00 ",53.4577560425,52.9079856873,415.8709411621,853.9496459961,92.798614502,38.0138893127,2017-04-30 21:10:00,30,4,2017,0,10,21
"19","30/04/2017 21:00:00 ",58.2320594788,57.3003463745,402.2714233398,853.6602783203,92.9583358765,38.2534713745,2017-04-30 21:00:00,30,4,2017,0,0,21
"20","30/04/2017 20:50:00 ",62.2829856873,62.0920143127,387.8038330078,853.9496459961,93.118057251,38.413192749,2017-04-30 20:50:00,30,4,2017,0,50,20
"21","30/04/2017 20:40:00 ",67.563659668,66.883682251,374.782989502,853.9496459961,93.357635498,38.6527786255,2017-04-30 20:40:00,30,4,2017,0,40,20
"22","30/04/2017 20:30:00 ",72.4103012085,71.6753463745,369.2853088379,838.0352783203,93.517364502,38.8125,2017-04-30 20:30:00,30,4,2017,0,30,20
"23","30/04/2017 20:20:00 ",77.039932251,76.267364502,393.0121459961,833.984375,93.756942749,39.131942749,2017-04-30 20:20:00,30,4,2017,0,20,20
"24","30/04/2017 20:10:00 ",79.210067749,78.263885498,428.313079834,847.8732910156,93.836807251,39.2916679382,2017-04-30 20:10:00,30,4,2017,0,10,20
"25","30/04/2017 20:00:00 ",79.210067749,78.663192749,458.1163330078,840.0607910156,93.9166641235,39.6111106873,2017-04-30 20:00:00,30,4,2017,0,0,20
"26","30/04/2017 19:50:00 ",79.1377334595,78.263885498,459.2737121582,839.7714233398,94.15625,39.6909713745,2017-04-30 19:50:00,30,4,2017,0,50,19
"27","30/04/2017 19:40:00 ",80.0057907104,82.256942749,450.8825378418,839.7714233398,94.236114502,39.930557251,2017-04-30 19:40:00,30,4,2017,0,40,19
"28","30/04/2017 19:30:00 ",87.8182907104,87.048614502,432.9427185059,839.7714233398,94.3958358765,40.0902786255,2017-04-30 19:30:00,30,4,2017,0,30,19
"29","30/04/2017 19:20:00 ",92.5202560425,91.8402786255,417.3177185059,838.6140136719,94.3958358765,40.25,2017-04-30 19:20:00,30,4,2017,0,20,19
"30","30/04/2017 19:10:00 ",94.6903915405,96.232635498,457.826965332,848.1625976562,94.555557251,40.4097213745,2017-04-30 19:10:00,30,4,2017,0,10,19
"31","30/04/2017 19:00:00 ",99.4646987915,101.2239608765,447.4103088379,849.609375,94.6354141235,40.649307251,2017-04-30 19:00:00,30,4,2017,0,0,19
"32","30/04/2017 18:50:00 ",106.7708358765,106.015625,428.6024169922,849.609375,94.6354141235,40.7291679382,2017-04-30 18:50:00,30,4,2017,0,50,18
"33","30/04/2017 18:40:00 ",108.9409713745,108.211807251,443.6487121582,837.7459716797,94.7152786255,40.8888893127,2017-04-30 18:40:00,30,4,2017,0,40,18
