"","pumps","datetimehourly","section","holiday","workday","weathertype","atemp","atemX","totalsales","quantity","newcustomer","returningcustomer","day.rushhour","day.rushhour.pumps","day.delivery.expected","day.delivery.expected.accuracy","day.consump.ave","timedatepos","day_col","month_col","year_col","second_col","min_col","hour_col"
"3793",1,"5/10/17 12:00",2,0,1,1,16.56666667,61.82,57.49,3.835,0,1,0,2,24,0.8,2.2,2017-05-10 12:00:00,10,5,2017,0,0,12
"3794",1,"5/10/17 13:00",2,0,1,1,15.73333333,60.32,48.91,3.263,1,0,0,2,24,0.8,2.2,2017-05-10 13:00:00,10,5,2017,0,0,13
"3795",0,"5/10/17 14:00",2,0,1,1,14.9,58.82,0,0,0,0,0,2,24,0.8,2.2,2017-05-10 14:00:00,10,5,2017,0,0,14
"3796",2,"5/10/17 15:00",3,0,1,1,14.68888889,58.44,95.38,6.363,1,1,0,2,24,0.8,2.2,2017-05-10 15:00:00,10,5,2017,0,0,15
"3797",0,"5/10/17 16:00",3,0,1,1,14.47777778,58.06,0,0,0,0,0,2,24,0.8,2.2,2017-05-10 16:00:00,10,5,2017,0,0,16
"3798",0,"5/10/17 17:00",3,0,1,1,14.26666667,57.68,0,0,0,0,0,2,24,0.8,2.2,2017-05-10 17:00:00,10,5,2017,0,0,17
"3799",0,"5/10/17 18:00",3,0,1,1,14.05555556,57.3,0,0,0,0,0,2,24,0.8,2.2,2017-05-10 18:00:00,10,5,2017,0,0,18
"3800",0,"5/10/17 19:00",3,0,1,1,13.84444444,56.92,0,0,0,0,0,2,24,0.8,2.2,2017-05-10 19:00:00,10,5,2017,0,0,19
"3801",0,"5/10/17 20:00",3,0,1,1,13.63333333,56.54,0,0,0,0,0,2,24,0.8,2.2,2017-05-10 20:00:00,10,5,2017,0,0,20
"3802",0,"5/10/17 21:00",3,0,1,1,13.42222222,56.16,0,0,0,0,0,2,24,0.8,2.2,2017-05-10 21:00:00,10,5,2017,0,0,21
"3803",0,"5/10/17 22:00",4,0,1,1,13.21111111,55.78,0,0,0,0,0,2,24,0.8,2.2,2017-05-10 22:00:00,10,5,2017,0,0,22
"3804",0,"5/10/17 23:00",4,0,1,1,13,55.4,0,0,0,0,0,2,24,0.8,2.2,2017-05-10 23:00:00,10,5,2017,0,0,23
"3805",0,"5/11/17 0:00",4,0,1,1,15.05,59.09,0,0,0,0,0,2,24,0.8,2.2,2017-05-11 00:00:00,11,5,2017,0,0,0
"3806",0,"5/11/17 1:00",4,0,1,1,17.1,62.78,0,0,0,0,0,2,24,0.8,2.2,2017-05-11 01:00:00,11,5,2017,0,0,1
"3807",3,"5/11/17 2:00",4,0,1,1,18.9,66.02,151.04,10.076,0,3,0,2,24,0.8,2.2,2017-05-11 02:00:00,11,5,2017,0,0,2
"3808",2,"5/11/17 3:00",4,0,1,1,20.3,68.54,104.95,7.001,0,2,0,2,24,0.8,2.2,2017-05-11 03:00:00,11,5,2017,0,0,3
"3809",2,"5/11/17 4:00",4,0,1,1,21.7,71.06,100.29,6.69,0,2,0,2,24,0.8,2.2,2017-05-11 04:00:00,11,5,2017,0,0,4
"3810",0,"5/11/17 5:00",1,0,1,1,23.1,73.58,0,0,0,0,0,2,24,0.8,2.2,2017-05-11 05:00:00,11,5,2017,0,0,5
"3811",2,"5/11/17 6:00",1,0,1,1,24.5,76.1,69.91,4.664,2,0,0,2,24,0.8,2.2,2017-05-11 06:00:00,11,5,2017,0,0,6
"3812",3,"5/11/17 7:00",1,0,1,1,25.5,77.9,150.69,10.053,1,2,0,2,24,0.8,2.2,2017-05-11 07:00:00,11,5,2017,0,0,7
"3813",2,"5/11/17 8:00",1,0,1,1,24.1,75.38,92.58,6.176,0,2,0,2,24,0.8,2.2,2017-05-11 08:00:00,11,5,2017,0,0,8
"3814",1,"5/11/17 9:00",1,0,1,1,22.7,72.86,43.94,2.931,0,1,0,2,24,0.8,2.2,2017-05-11 09:00:00,11,5,2017,0,0,9
"3815",0,"5/11/17 10:00",1,0,1,1,22.4,72.32,0,0,0,0,0,2,24,0.8,2.2,2017-05-11 10:00:00,11,5,2017,0,0,10
"3816",2,"5/11/17 11:00",2,0,1,1,20.4,68.72,95.26,6.355,0,2,0,2,24,0.8,2.2,2017-05-11 11:00:00,11,5,2017,0,0,11
"3817",1,"5/11/17 12:00",2,0,1,1,18.75,65.75,31.15,2.078,0,1,0,2,24,0.8,2.2,2017-05-11 12:00:00,11,5,2017,0,0,12
"3818",1,"5/11/17 13:00",2,0,1,1,17.1,62.78,55.55,3.706,0,1,0,2,24,0.8,2.2,2017-05-11 13:00:00,11,5,2017,0,0,13
"3819",0,"5/11/17 14:00",2,0,1,1,16.91818182,62.45272727,0,0,0,0,0,2,24,0.8,2.2,2017-05-11 14:00:00,11,5,2017,0,0,14
"3820",0,"5/11/17 15:00",3,0,1,1,16.73636364,62.12545455,0,0,0,0,0,2,24,0.8,2.2,2017-05-11 15:00:00,11,5,2017,0,0,15
"3821",0,"5/11/17 16:00",3,0,1,1,16.55454545,61.79818182,0,0,0,0,0,2,24,0.8,2.2,2017-05-11 16:00:00,11,5,2017,0,0,16
"3822",1,"5/11/17 17:00",3,0,1,1,16.37272727,61.47090909,38.61,2.576,0,1,0,2,24,0.8,2.2,2017-05-11 17:00:00,11,5,2017,0,0,17
"3823",1,"5/11/17 18:00",3,0,1,1,16.19090909,61.14363636,21.93,1.463,0,1,0,2,24,0.8,2.2,2017-05-11 18:00:00,11,5,2017,0,0,18
"3824",0,"5/11/17 19:00",3,0,1,1,16.00909091,60.81636364,0,0,0,0,0,2,24,0.8,2.2,2017-05-11 19:00:00,11,5,2017,0,0,19
"3825",0,"5/11/17 20:00",3,0,1,1,15.82727273,60.48909091,0,0,0,0,0,2,24,0.8,2.2,2017-05-11 20:00:00,11,5,2017,0,0,20
"3826",0,"5/11/17 21:00",3,0,1,1,15.64545455,60.16181818,0,0,0,0,0,2,24,0.8,2.2,2017-05-11 21:00:00,11,5,2017,0,0,21
"3827",0,"5/11/17 22:00",4,0,1,1,15.46363636,59.83454545,0,0,0,0,0,2,24,0.8,2.2,2017-05-11 22:00:00,11,5,2017,0,0,22
"3828",0,"5/11/17 23:00",4,0,1,1,15.28181818,59.50727273,0,0,0,0,0,2,24,0.8,2.2,2017-05-11 23:00:00,11,5,2017,0,0,23
"3829",2,"5/12/17 0:00",4,0,1,1,15.1,59.18,97.38,6.496,0,2,0,2,24,0.8,2.2,2017-05-12 00:00:00,12,5,2017,0,0,0
"3830",0,"5/12/17 1:00",4,0,1,1,18.85,65.93,0,0,0,0,0,2,24,0.8,2.2,2017-05-12 01:00:00,12,5,2017,0,0,1
"3831",3,"5/12/17 2:00",4,0,1,1,22.6,72.68,153.42,10.234,0,3,0,2,24,0.8,2.2,2017-05-12 02:00:00,12,5,2017,0,0,2
"3832",0,"5/12/17 3:00",4,0,1,1,24.8,76.64,0,0,0,0,0,2,24,0.8,2.2,2017-05-12 03:00:00,12,5,2017,0,0,3
"3833",0,"5/12/17 4:00",4,0,1,1,27.8,82.04,0,0,0,0,0,2,24,0.8,2.2,2017-05-12 04:00:00,12,5,2017,0,0,4
"3834",2,"5/12/17 5:00",1,0,1,1,29.2,84.56,115.97,7.736,0,2,0,2,24,0.8,2.2,2017-05-12 05:00:00,12,5,2017,0,0,5
"3835",2,"5/12/17 6:00",1,0,1,1,29.5,85.1,85.33,5.693,0,2,0,2,24,0.8,2.2,2017-05-12 06:00:00,12,5,2017,0,0,6
"3836",0,"5/12/17 7:00",1,0,1,1,29,84.2,0,0,0,0,0,2,24,0.8,2.2,2017-05-12 07:00:00,12,5,2017,0,0,7
"3837",0,"5/12/17 8:00",1,0,1,1,27.9,82.22,0,0,0,0,0,2,24,0.8,2.2,2017-05-12 08:00:00,12,5,2017,0,0,8
"3838",0,"5/12/17 9:00",1,0,1,1,26.2,79.16,0,0,0,0,0,2,24,0.8,2.2,2017-05-12 09:00:00,12,5,2017,0,0,9
"3839",0,"5/12/17 10:00",1,0,1,1,23,73.4,0,0,0,0,0,2,24,0.8,2.2,2017-05-12 10:00:00,12,5,2017,0,0,10
"3840",0,"5/12/17 11:00",2,0,1,1,22.2,71.96,0,0,0,0,0,2,24,0.8,2.2,2017-05-12 11:00:00,12,5,2017,0,0,11
"3841",0,"5/12/17 12:00",2,0,1,1,21.05,69.89,0,0,0,0,0,2,24,0.8,2.2,2017-05-12 12:00:00,12,5,2017,0,0,12
"3842",0,"5/12/17 13:00",2,0,1,1,19.9,67.82,0,0,0,0,0,2,24,0.8,2.2,2017-05-12 13:00:00,12,5,2017,0,0,13
"3843",0,"5/12/17 14:00",2,0,1,1,19.17777778,66.52,0,0,0,0,0,2,24,0.8,2.2,2017-05-12 14:00:00,12,5,2017,0,0,14
